"statefip","nb_top","pct_top","nb_topRPP","pct_topRPP","pop.x","pop_pct.x","ratio_top","ratio_topRPP","diff_ratio_t10","nb_bottom","pct_bottom","nb_bottomRPP","pct_bottomRPP","pop.y","pop_pct.y","ratio_bottom","ratio_bottomRPP","diff_ratio_b10"
"Alabama",205696.7793,1.24348309189203,269338.9592,1.62841334534199,2606412.185,1.55934476589276,0.797439488104544,1.04429333458511,0.309558092072061,272518.4497,1.61852303687788,256216.4798,1.52070377642174,2606412.185,1.55934476589276,1.03795072922904,0.975219726697901,-0.0604373606228214
"Alaska",39572.7,0.239225832888457,34183.81,0.206674045834194,403230.94,0.241241987492864,0.991642604899086,0.856708436131199,-0.136071370977065,48042.37,0.285329975555085,52223.63,0.30995926343787,403230.94,0.241241987492864,1.18275420676313,1.28484791001416,0.0863186135100985
"Arizona",368760.3896,2.22923913046954,376326.1495,2.27525392489511,3475352.2973,2.07920774987788,1.07215795564463,1.09428888240184,0.0206414797751575,389973.9894,2.316106987699,382635.5294,2.27102993143111,3475352.2973,2.07920774987788,1.11393726184169,1.0922573425212,-0.0194624240189696
"Arkansas",93360.5206,0.564385252950517,131854.1807,0.797185480068544,1531899.3504,0.916493272886064,0.615809487802624,0.869821420028741,0.412484603204964,164888.5201,0.979294681121,154156.65,0.914955197255524,1531899.3504,0.916493272886064,1.06852358887171,0.99832178186568,-0.065699819580176
"California",2444576.4797,14.7780122259983,1843546.3299,11.146012649942,19668464.815,11.7671018570749,1.25587527035071,0.947218166828433,-0.245770508273551,2114814.7898,12.5601641275642,2442892.9497,14.4991318938683,19668464.815,11.7671018570749,1.06739656715153,1.23217526881105,0.154374397230122
"Colorado",353309.1892,2.13583316411353,347349.0393,2.10005939269939,2741486.067,1.64015575661698,1.30221361934487,1.28040241557974,-0.0167493285595553,271523.9304,1.61261645550901,273358.9604,1.62244834416386,2741486.067,1.64015575661698,0.983209337895585,0.989203822635938,0.00609685497208899
"Connecticut",299120.7995,1.80825221414381,265586.1094,1.60572375481437,1953910.4934,1.1689709396084,1.54687524973851,1.37362161915871,-0.112002328959036,167791.1792,0.996533956578221,198451.6886,1.17785644595095,1953910.4934,1.1689709396084,0.852488220889438,1.00760113535887,0.181953146880548
"Delaware",41798.62,0.252682017731621,38861.77,0.234956818276778,512023.33,0.306329483972422,0.824870053169184,0.767006868649739,-0.070148242498479,45160.7,0.268215357132683,46232.05,0.274397857162031,512023.33,0.306329483972422,0.875578000702113,0.895760517739567,0.0230505072321027
"District of Columbia",79545.13,0.480868123137177,59354.51,0.35885516331287,373248.74,0.223304461375924,2.15341923835393,1.60702191573662,-0.253734764176706,34865.48,0.207070686898175,43031.46,0.255401618888924,373248.74,0.223304461375924,0.927302059360026,1.14373719770411,0.233403060156527
"Florida",896903.13,5.42198026150639,950898.6196,5.74909774220259,10440302.37,6.24614592760482,0.868052127559807,0.920423219187767,0.060331735808518,1065586.1904,6.32865700960772,1030095.7,6.11385505838099,10440302.37,6.24614592760482,1.01320991903795,0.978820400490618,-0.0339411585903046
"Georgia",501277.7695,3.03033636615913,584826.3098,3.53583815135433,5230784.9117,3.12943483018985,0.968333430984178,1.12986476575383,0.166813754024249,567873.8001,3.37267744078625,512450.6401,3.0415124906802,5230784.9117,3.12943483018985,1.07772732898919,0.971904722647851,-0.0981905195264837
"Hawaii",69411.59,0.419608604665895,51535.63,0.311582505189271,714765.3101,0.427624437746462,0.981254969611162,0.728635872241726,-0.257444910031427,72706.75,0.431814983319717,89016.69,0.528334542544768,714765.3101,0.427624437746462,1.00979959329579,1.23551063949721,0.223520634886325
"Idaho",59995.85,0.362688347929277,67199.69,0.406286830259811,844880.2702,0.505468641807487,0.717528879006922,0.803782463748858,0.120209217030141,92876.2201,0.551604127997467,83131.8301,0.493406544624304,844880.2702,0.505468641807487,1.0912726970065,0.976136804174339,-0.105506069333531
"Illinois",713035.6916,4.31046042352952,713035.6916,4.31098731262415,6814987.7151,4.07721982130185,1.05720579523554,1.05733502277728,0.000122234991824564,651004.84,3.86640365750986,651004.84,3.86386355565265,6814987.7151,4.07721982130185,0.948294138400249,0.947671139894272,-0.000656967580783776
"Indiana",265465.0095,1.60479542716013,320696.6593,1.93892009296334,3336788.8419,1.99630904330895,0.803881259035987,0.971252471886573,0.208203899480499,332477.9812,1.97463060728269,290057.8911,1.72156034116544,3336788.8419,1.99630904330895,0.989140741460388,0.86237165880484,-0.128160814070184
"Iowa",115420.71,0.697744037741348,152516.7698,0.922110726455841,1697423.3865,1.01552175380225,0.687079361056425,0.908016714564052,0.321560166161771,141230.5695,0.838786990380901,124248.0297,0.737440652237667,1697423.3865,1.01552175380225,0.825966541081343,0.726169232196743,-0.120824880816537
"Kansas",126156.5502,0.762644595792791,158429.4702,0.957858693504378,1544967.3597,0.92431150364015,0.82509477896718,1.03629424683357,0.255969948241298,147422.1003,0.875559308895008,124434.5103,0.738547457517603,1544967.3597,0.92431150364015,0.947255665916582,0.799024413965459,-0.156484946234332
"Kentucky",120743.3794,0.729920766152725,175816.7692,1.06298165757593,2351880.0292,1.40706517359254,0.518754056209834,0.755460143229833,0.456297322761084,235329.1103,1.39765064232466,209850.8102,1.24551285618086,2351880.0292,1.40706517359254,0.993309100783265,0.885184907960441,-0.108852514023645
"Louisiana",173200.7997,1.04703761848899,209931.2197,1.26923635844881,2363187.9961,1.4138304193583,0.740568037123016,0.897728851402758,0.212216577548076,235409.9495,1.39813075700176,198269.6095,1.17677576458653,2363187.9961,1.4138304193583,0.988895653862315,0.832331620874754,-0.158322096346638
